Original,Porter,Snowball,Same
running,run,run,True
runner,runner,runner,True
ran,ran,ran,True
runs,run,run,True
computing,comput,comput,True
computer,comput,comput,True
computed,comput,comput,True
computation,comput,comput,True
studying,studi,studi,True
student,student,student,True
studies,studi,studi,True
studious,studiou,studious,False
connecting,connect,connect,True
connection,connect,connect,True
connected,connect,connect,True
connectivity,connect,connect,True
organizing,organ,organ,True
organization,organ,organ,True
organized,organ,organ,True
organizer,organ,organ,True
