Word,Num_Synsets,Num_Synonyms,Num_Antonyms,Num_Hypernyms,Num_Hyponyms,Synonyms,Antonyms,Hypernyms
good,27,10,5,6,10,"right, near, goodness, safe, in effect","evilness, badness, evil, bad, ill","artifact, quality, advantage, artefact, vantage"
happy,4,3,1,0,0,"felicitous, well-chosen, glad",unhappy,
computer,2,9,0,2,10,"electronic computer, data processor, figurer, computing machine, estimator",,"expert, machine"
large,11,10,2,1,0,"tumid, magnanimous, gravid, great, vauntingly","small, little",size
fast,15,10,1,4,4,"debauched, degraded, dissipated, flying, firm",slow,"desist, abstain, abstinence, refrain"
learn,6,10,0,3,10,"determine, memorize, instruct, get word, ascertain",,"study, inform, hit the books"
create,6,2,0,6,10,"make, produce",,"make, appoint, act, create, move"
beautiful,2,0,1,0,0,,ugly,
intelligent,4,7,1,0,0,"levelheaded, healthy, thinking, reasoning, level-headed",unintelligent,
efficient,2,1,1,0,0,effective,inefficient,
