Word1,Word2,Path_Similarity,WuP_Similarity,LCH_Similarity
good,happy,0.333,0.500,-0.405
good,computer,0.167,0.667,1.846
good,large,0.333,0.545,1.846
good,fast,0.333,0.500,1.153
good,learn,0.333,0.500,0.000
good,create,0.333,0.500,0.000
good,beautiful,0.333,0.500,-0.405
happy,computer,0.111,0.200,0.000
happy,large,0.333,0.500,-0.405
happy,fast,0.333,0.500,-0.405
happy,learn,0.333,0.500,0.000
happy,create,0.333,0.500,0.000
happy,beautiful,0.333,0.500,-0.405
computer,large,0.111,0.200,1.240
computer,fast,0.111,0.200,0.930
computer,learn,0.111,0.200,0.000
computer,create,0.111,0.200,0.000
computer,beautiful,0.111,0.200,0.000
large,fast,0.333,0.500,1.073
large,learn,0.333,0.500,0.000
large,create,0.333,0.500,0.000
large,beautiful,0.333,0.500,-0.405
fast,learn,0.333,0.500,1.872
fast,create,0.333,0.500,1.872
fast,beautiful,0.333,0.500,-0.405
learn,create,0.333,0.500,2.159
learn,beautiful,0.333,0.500,0.000
create,beautiful,0.333,0.500,0.000
