word,sentence,num_possible_senses,lesk_sense,lesk_definition,adapted_lesk_sense,adapted_lesk_definition,path_similarity_sense,path_similarity_definition,wup_similarity_sense,wup_similarity_definition,lesk_confidence,adapted_confidence,path_confidence,wup_confidence
bank,I went to the bank to deposit money.,18,depository_financial_institution.n.01,a financial institution that accepts deposits and channels the money into lending activities,depository_financial_institution.n.01,a financial institution that accepts deposits and channels the money into lending activities,bank.v.05,be in the banking business,bank.v.05,be in the banking business,0.45740740740740743,0.45740740740740743,0.10185185185185186,0.10185185185185186
bass,The bass player played a bass guitar.,9,sea_bass.n.01,the lean flesh of a saltwater fish of the family Serranidae,bass.n.02,the lowest part in polyphonic music,bass.s.01,having or denoting a low vocal or instrumental range,bass.n.03,an adult male singer with the lowest voice,0.2203703703703704,0.13703703703703704,0.5203703703703704,0.17037037037037037
played,The bass player played a bass guitar.,36,play.v.02,act or have an effect in a specified way or with a specific effect or outcome,play.v.01,participate in games or sport,play.v.11,engage in recreational activities rather than work; occupy oneself in a diversion,play.v.11,engage in recreational activities rather than work; occupy oneself in a diversion,0.6092592592592593,0.4259259259259259,0.4314814814814814,0.4314814814814814
bat,I saw a bat flying at night and picked up a baseball bat.,10,bat.v.01,"strike with, or as if with a baseball bat",bat.n.01,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,bat.v.01,"strike with, or as if with a baseball bat",bat.n.02,(baseball) a turn trying to get a hit,0.29444444444444445,0.35000000000000003,0.29444444444444445,0.38888888888888884
plant,The plant is growing in the plant.,10,plant.n.03,an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience,plant.n.01,buildings for carrying on industrial labor,plant.v.01,"put or set (seeds, seedlings, or plants) into the ground",plant.n.02,(botany) a living organism lacking the power of locomotion,0.3,0.24444444444444446,0.3111111111111111,0.18333333333333335
pitcher,The pitcher threw the ball and broke the water pitcher.,5,pitcher.n.03,the quantity contained in a pitcher,pitcher.n.01,(baseball) the person who does the pitching,pitcher.n.01,(baseball) the person who does the pitching,pitcher.n.02,an open vessel with a handle and a spout for pouring,0.16666666666666666,0.29444444444444445,0.29444444444444445,0.25
book,I need to book a table and read my book.,15,koran.n.01,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina,reserve.v.04,arrange for and reserve (something for someone else) in advance,book.n.06,a collection of playing cards satisfying the rules of a card game,book.n.02,physical objects consisting of a number of pages bound together,0.33888888888888885,0.5222222222222223,0.2222222222222222,0.3
match,The match started after lighting a match.,19,match.n.05,the score needed to win a match,match.n.01,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction,match.v.01,"be compatible, similar or consistent; coincide in their characteristics",match.v.01,"be compatible, similar or consistent; coincide in their characteristics",0.13421052631578947,0.5230994152046784,0.5008771929824561,0.5008771929824561
light,The light in the room was very light.,47,luminosity.n.01,the quality of being luminous; emitting or reflecting light,light.a.06,characterized by or emitting light,light.n.06,a condition of spiritual awareness; divine illumination,light.n.06,a condition of spiritual awareness; divine illumination,0.2682033096926714,0.3126477541371158,0.23486997635933804,0.23486997635933804
saw,I saw a saw in the workshop.,28,saw.v.01,cut with a saw,saw.n.02,hand tool having a toothed blade for cutting,understand.v.02,perceive (an idea or situation) mentally,saw.n.02,hand tool having a toothed blade for cutting,0.18968253968253967,0.14523809523809525,0.4452380952380952,0.14523809523809525
lead,The lead singer used a lead pencil.,31,leash.n.01,restraint consisting of a rope (or light chain) used to restrain an animal,lead.n.15,mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil,lead.v.01,take somebody somewhere,lead.n.14,thin strip of metal used to separate lines of type in printing,0.22741935483870968,0.27741935483870966,0.3940860215053763,0.21075268817204298
